seed,lnz_dynesty4000,lnz_err_dynesty4000,lnz_dynesty2000,lnz_err_dynesty2000,lnz_nismo,lnz_err_nismo,lnz_morph_dynesty,lnz_err_morph_dynesty
14,-16178.906824508746,0.07813543753135328,-16178.888337156606,0.1086288746118902,-16178.922836519047,0.05823052498727977,-16178.958082610245,0.2010827069631388
15,-16422.95615062107,0.08270019406113231,-16423.10382125404,0.11421045286862311,-16423.01944356969,0.05549993242292966,-16423.05993716317,0.1426674282112165
16,-15972.51467937143,0.07947282055584018,-15972.461772626999,0.11122026088910908,-15972.807495726092,0.059051681331232994,-15972.4718832851,0.222142533395835
17,-16183.021357589338,0.07697775523121203,-16182.908364090159,0.10367815664017245,-16183.005828649542,0.05755621299682108,-16182.984340192235,0.1586248510244667
18,-16217.6438920845,0.09815794736250014,-16217.60611758616,0.135012397837763,-16218.084966541459,0.06100010244760141,-16218.175671693976,0.3034651254605136
19,-16086.756254573851,0.08841283737942024,-16086.864640965226,0.12196789245704111,-16086.629186011909,0.06079676052923838,-16086.635202185702,0.2158527105334985
20,-16365.509015769017,0.09614050152987842,-16365.559938235594,0.13296703529609238,-16365.592445661958,0.06417290488739054,-16365.488056188196,0.3321357133462002
21,-16066.256502967299,0.0747020397887497,-16066.354972287454,0.10402906526002294,-16066.268191972538,0.05730170770813634,-16066.267835909845,0.2000114847679699
22,-15952.565907059965,0.09986303903631165,-15952.578257751442,0.13935570272738443,-15952.756464628059,0.05968229109787813,-15952.92188569604,0.2158697363606967
23,-16127.441694151132,0.027818916757268036,-16127.449781029194,0.038825232045259735,-16127.375266264611,0.025626303981573353,,
24,-16369.06937509593,0.08230680824443479,-16369.101054873274,0.11618787289755714,-16369.853894607717,0.06404952737865262,-16369.299101777622,0.3928550302876094
25,-16087.742341660854,0.09534501738055808,-16087.64241227989,0.13203283745147096,-16088.105626881019,0.06324728873080683,-16087.959021362933,0.3321813718250965
26,-16127.494415594138,0.07210527525594781,-16127.64102656982,0.10166076384407721,-16127.575313263189,0.0579983173365949,-16127.390256788756,0.2258962625294675
27,-16283.034671359052,0.07305909935506819,-16283.018156598882,0.09958735999372405,-16283.377247430783,0.06019424504605931,-16282.75507005694,0.152928057983641
28,-16074.870129324287,0.07227130529522222,-16074.836106401344,0.09931958989207199,-16075.147836429896,0.05633587933033631,-16075.033409252135,0.1662252519603625
29,-16151.866982339692,0.07001732878994096,-16151.812255944707,0.09812296290794444,-16151.96493185835,0.05386741909863298,-16151.645180024823,0.1520536529328107
30,-16032.800578638818,0.09069185783625042,-16032.73407160509,0.12616024013580923,-16033.220910268525,0.06388630958491302,-16033.104928375607,0.3522793327305899
31,-16432.791552538714,0.09196578533958476,-16432.824734298338,0.1264960447740751,-16432.678579858544,0.06391758742505269,-16432.929821188372,0.1975823820460367
32,-16283.315668597483,0.0869393785933343,-16283.190260804835,0.11954858187754783,-16283.809284526606,0.0651900560387033,-16283.837011907655,0.3995384943502459
33,-15947.277550764014,0.04722020851189646,-15947.281471275908,0.06366922497983439,-15947.392351654553,0.045317239098746395,-15946.971650568255,0.0584358828752193
34,-16226.322762347701,0.07977715113594,-16226.179394190169,0.11083754438125397,-16226.07576177367,0.06019370919842643,-16226.471932459586,0.312056636910699
35,-16031.411653307956,0.08831943784292874,-16031.336245086784,0.12262451301057078,-16031.914215681829,0.06253205516025005,-16031.654221797278,0.3370131719634498
36,-16154.704509646557,0.08397435423429214,-16154.777078437639,0.11655633429120586,-16154.84687353669,0.06102744629795678,-16154.82244316741,0.3354431253382539
37,-16341.454528718055,0.07775827088493623,-16341.386078998523,0.10710396330462203,-16341.719090938484,0.056627911099083654,-16341.635767827574,0.2124847544461856
38,-16373.176124806463,0.07981040002339639,-16373.050728326274,0.11030860444848863,-16373.209095993654,0.05637236591391484,-16373.1282746172,0.1763119786434949
39,-16112.360427170213,0.06917809295470617,-16112.441482833938,0.09546287701617263,-16112.37137353786,0.05680711565105786,-16112.18939256574,0.183649490004267
40,-16344.588366913986,0.08692242556517252,-16344.492759171048,0.12029201489479387,-16345.016137830064,0.06305587364904704,-16345.01626520972,0.3353531157849722
41,-16378.030178382929,0.07177134961313031,-16377.958263119803,0.09780843169841245,-16378.284508348686,0.052121217390727996,-16378.091498127054,0.128150150702599
42,-16428.051347937686,0.08093406878628392,-16427.95996429391,0.11200198316827052,-16428.225871480347,0.06100500220423197,-16428.33968321527,0.2735067833506859
43,-16241.03770206489,0.08508901506271144,-16240.9125336356,0.11926251199545229,-16241.208615082394,0.06051486050889391,-16240.925180512491,0.2091066029687618
44,-16415.303046290133,0.08345271512653184,-16415.120757579116,0.11570856397633018,-16415.498631299226,0.05668482672402312,-16415.272278501947,0.2147065348414609
45,-16215.347524961402,0.09736964307621326,-16215.433304986542,0.13461127329022654,-16215.596442227928,0.06196770442760222,-16215.227592998104,0.3001739452775406
46,-16083.547541488697,0.07255278988105418,-16083.454115777155,0.10110956688775152,-16083.760580898208,0.05373016757046147,-16083.463046084084,0.1262832623179423
47,-16210.844779589914,0.07327941642784168,-16210.92540224035,0.10184982493045636,-16210.844203058776,0.05682237359715406,-16210.945830072003,0.2043121341365305
48,-16518.599483413607,0.07570529587028774,-16518.613098362486,0.10591396227470819,-16518.71109299011,0.061126173872285416,-16518.580935960654,0.2539476014236259
49,-16220.184456924377,0.07567906152831808,-16220.049781487933,0.10401073463441059,-16220.554191557427,0.05512753709603523,-16220.261493207814,0.174564980700626
50,-16134.157264255888,0.08143629753465682,-16134.110211632576,0.1125450344766492,-16133.990466389057,0.063207972383701,-16134.170786533185,0.249694509154847
